attribute,value,fixed,tupleid
measure name,Heart Failure Patients Given Discharge Instructions,f,16
score,80%,t,16
sample,114 patients,t,16
stateavg,AL_HF-1,t,16
provider number,10019,t,17
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,17
address1,1300 SOUTH MONTGOMERY AVENUE,t,17
address2,,t,17
address3,,t,17
city,SHEFFIELD,f,17
state,AL,f,17
zip code,35660,f,17
county name,JEFFERSON,t,17
phone number,2563864556,f,17
hospital type,Acuxe Care Hospixals,t,17
hospital owner,Government - Hospital District or Authority,t,17
emergency service,Yes,t,17
condition,Heart Failure,f,17
measure code,HF-2,f,17
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,f,17
score,99%,t,17
sample,149 patients,t,17
stateavg,AL_HF-2,f,17
provider number,10019,t,18
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,18
address1,1300 SOUTH MONTGOMERY AVENUE,t,18
address2,,t,18
address3,,t,18
city,SHEFFIELD,f,18
state,AL,t,18
zip code,35660,f,18
county name,JEFFERSON,t,18
phone number,2563864556,f,18
hospital type,Acute Care Hospitals,t,18
hospital owner,Government - Hospital District or Authority,t,18
emergency service,Yes,t,18
condition,Heart Failure,f,18
measure code,HF-3,f,18
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,18
score,92%,t,18
sample,3x patients,t,18
stateavg,AL_HF-3,t,18
provider number,10019,t,19
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,19
address1,1300 SOUTH MONTGOMERY AVENUE,t,19
address2,,t,19
address3,,t,19
city,SHEFFIELD,f,19
state,AL,f,19
zip code,35660,f,19
county name,JEFFERSON,t,19
phone number,2563864556,f,19
hospital type,Acute Care Hospitals,t,19
hospital owner,Government - Hospital District or Authority,t,19
emergency service,Yes,t,19
condition,Heart Failure,f,19
measure code,HF-4,f,19
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,19
score,100%,t,19
sample,41 patients,t,19
stateavg,AL_HF-4,f,19
provider number,10001,t,20
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,20
address1,1108 ROSS CLARK CIRCLE,t,20
address2,,t,20
address3,,t,20
city,DOTHAN,t,20
state,AL,f,20
zip code,36302,f,20
county name,HOUSTON,t,20
phone number,3347938701,f,20
hospital type,Acute Care Hospitals,t,20
hospital owner,Government - Hospital District or Authority,t,20
emergency service,Yes,t,20
condition,Heart Attack,f,20
measure code,AMI-1,f,20
measure name,Heart Attack Patients Given Aspirin at Arrival,f,20
score,98%,t,20
sample,270 patients,t,20
stateavg,AL_AMI-1,f,20
provider number,10001,t,21
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,21
address1,1108 ROSS CLARK CIRCLE,t,21
address2,,t,21
address3,,t,21
city,DOTHAN,t,21
state,AL,f,21
zip code,36302,f,21
county name,HOUSTON,t,21
phone number,3347938701,f,21
hospital type,Acute Care Hospitals,t,21
hospital owner,Government - Hospital District or Authority,t,21
emergency service,Yes,t,21
condition,Heart Attack,f,21
measure code,AMI-2,f,21
measure name,Heart Attack Patients Given Aspirin at Discharge,f,21
score,99%,t,21
sample,516 patients,t,21
stateavg,AL_AMI-2,f,21
provider number,10001,t,22
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,22
address1,1108 ROSS CLARK CIRCLE,t,22
address2,,t,22
address3,,t,22
city,DOTHAN,t,22
state,AL,f,22
zip code,36302,f,22
county name,HOUSTON,t,22
phone number,3347938701,f,22
hospital type,Acute Care Hospitals,t,22
hospital owner,Government - Hospital District or Authority,t,22
emergency service,Yes,t,22
condition,Heart Attaxk,f,22
measure code,AMI-3,f,22
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,22
score,96%,t,22
sample,71 patients,t,22
stateavg,AL_AMI-3,t,22
provider number,10001,t,23
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,23
address1,1108 ROSS CLARK CIRCLE,t,23
address2,,t,23
address3,,t,23
city,DOTHAN,t,23
state,AL,f,23
zip code,36302,f,23
county name,HOUSTON,t,23
phone number,3347938701,f,23
hospital type,Acute Care Hospitals,t,23
hospital owner,Government - Hospxtal Dxstrxct or Authorxty,t,23
emergency service,Yes,t,23
condition,Hearx Axxack,f,23
measure code,AMI-4,f,23
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,23
score,100%,t,23
sample,244 patients,t,23
stateavg,AL_AMI-4,t,23
provider number,10001,t,24
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,24
address1,1108 ROSS CLARK CIRCLE,t,24
address2,,t,24
address3,,t,24
city,DOTHAN,t,24
state,AL,f,24
zip code,36302,f,24
county name,HOUSTON,t,24
phone number,3347938701,f,24
hospital type,Acute Care Hospitals,t,24
hospital owner,Government - Hospital District or Authority,t,24
emergency service,Yes,t,24
condition,Heart Attack,f,24
measure code,AMI-5,f,24
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,24
score,99%,t,24
sample,441 patients,t,24
stateavg,AL_AMI-5,f,24
provider number,10001,t,25
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,25
address1,1108 ROSS CLARK CIRCLE,t,25
address2,,t,25
address3,,t,25
city,DOTHAN,t,25
state,AL,f,25
zip code,36302,f,25
county name,HOUSTON,t,25
phone number,334793870x,t,25
hospital type,Acute Care Hospitals,t,25
hospital owner,Government - Hospital District or Authority,t,25
emergency service,Yxs,t,25
condition,Heart Attack,f,25
measure code,AMI-7A,f,25
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,25
score,,t,25
sample,0 patients,t,25
stateavg,AL_AMI-7A,f,25
provider number,10001,t,26
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,26
address1,1108 ROSS CLARK CIRCLE,t,26
address2,,t,26
address3,,t,26
city,DOTHAN,t,26
state,AL,f,26
zip code,36302,f,26
county name,HOUSTON,t,26
phone number,3347938701,f,26
hospital type,Acute Care Hospitals,t,26
hospital owner,Government - Hospital District or Authority,t,26
emergency service,Yes,t,26
condition,Heart Attack,f,26
measure code,AMI-8A,f,26
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,26
score,72%,t,26
sample,40 patients,t,26
stateavg,AL_AMI-8A,f,26
provider number,10001,t,27
hospital name,SOUTHEAST ALABAMA MEDxCAL CENTER,t,27
address1,1108 ROSS CLARK CIRCLE,t,27
address2,,t,27
address3,,t,27
city,DOTHAN,t,27
state,AL,f,27
zip code,36302,f,27
county name,HOUSTON,t,27
phone number,3347938701,f,27
hospital type,Acute Care Hospitals,t,27
hospital owner,Government - Hospital District or Authority,t,27
emergency service,Yes,t,27
condition,Heart Failure,f,27
measure code,HF-1,f,27
measure name,Heart Failure Patients Given Discharge Instructions,f,27
score,78%,t,27
sample,455 patients,t,27
stateavg,AL_HF-1,t,27
provider number,10001,t,28
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,28
address1,1108 ROSS CLARK CIRCLE,t,28
address2,,t,28
address3,,t,28
city,DOTHAN,t,28
state,AL,f,28
zip code,36302,f,28
county name,HOUSTON,t,28
phone number,3347938701,f,28
hospital type,Acute Care Hospitals,t,28
hospital owner,Government - Hospital xistrict or Authority,t,28
emergency service,Yes,t,28
condition,Heart Failure,f,28
measure code,HF-2,f,28
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,f,28
score,99%,t,28
sample,514 patients,t,28
stateavg,AL_HF-2,f,28
provider number,10001,t,29
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,29
address1,1108 ROSS CLARK CIRCLE,t,29
address2,,t,29
address3,,t,29
city,DOTHAN,t,29
state,AL,f,29
zip code,36302,f,29
county name,HOUSTON,t,29
phone number,3347938701,f,29
hospital type,Acute Care Hospitals,t,29
hospital owner,Government - Hospital District or Authority,t,29
emergency service,Yes,t,29
condition,Heart Failure,f,29
measure code,HF-3,f,29
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,29
score,91%,t,29
sample,165 patients,t,29
stateavg,AL_HF-3,t,29
provider number,10001,t,30
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,30
address1,1108 ROSS CLARK CIRCLE,t,30
address2,,t,30
address3,,t,30
city,DOTHAN,t,30
state,AL,f,30
zip code,36302,f,30
county name,HOUSTON,t,30
phone number,3347938701,f,30
hospital type,Acute Care Hospitals,t,30
hospital owner,Government - Hospital District or Authority,t,30
emergency service,Yes,t,30
condition,Heart Failure,f,30
measure code,HF-4,f,30
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,30
score,100%,t,30
sample,110 patients,t,30
stateavg,AL_HF-4,f,30
provider number,10001,t,31
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,31
address1,1108 ROSS CLARK CIRCLE,t,31
address2,,t,31
address3,,t,31
city,DOTHAN,t,31
state,AL,f,31
zip code,36302,f,31
county name,HOUSTON,t,31
phone number,3347938701,f,31
hospital type,Acute Care Hospitals,t,31
hospital owner,Government - Hospital District or Authority,t,31
emergency service,Yes,t,31
condition,Pneumonia,t,31
measure code,PN-2,f,31
measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,t,31
score,93%,t,31
sample,191 patients,t,31
stateavg,AL_PN-2,f,31
provider number,10001,t,32
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,32
address1,1108 ROSS CLARK CIRCLE,t,32
address2,,t,32
address3,,t,32
city,DOTHAN,t,32
state,AL,f,32
zip code,36302,f,32
county name,HOUSTON,t,32
phone number,3347938701,f,32
hospital type,Acute Care Hospitals,t,32
hospital owner,Governmenx - Hospixal Disxricx or Auxhorixy,t,32
emergency service,Yes,t,32
condition,Pneumonia,f,32
measure code,PN-3B,f,32
measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,f,32
score,89%,t,32
sample,125 patients,t,32
stateavg,AL_PN-3B,f,32
provider number,10001,t,33
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,33
address1,1108 ROSS CLARK CIRCLE,t,33
address2,,t,33
address3,,t,33
city,DOTHAN,t,33
state,AL,f,33
zip code,36302,f,33
county name,HOUSTON,t,33
phone number,3347938701,f,33
hospital type,Acute Care Hospitals,t,33
hospital owner,Government - Hospital District or Authority,t,33
emergency service,Yes,t,33
condition,Pneumonia,f,33
measure code,PN-4,f,33
measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling,t,33
score,99%,t,33
sample,107 patients,t,33
stateavg,AL_PN-4,t,33
provider number,10001,t,34
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,34
address1,1108 ROSS CLARK CIRCLE,t,34
address2,,t,34
address3,,t,34
city,DOTHAN,t,34
state,AL,f,34
zip code,36302,f,34
county name,HOUSTON,t,34
phone number,3347938701,f,34
hospital type,Acute Care Hospitals,t,34
hospital owner,Government - Hospital District or Authority,t,34
emergency service,Yes,t,34
condition,Pneumonia,f,34
measure code,PN-5C,f,34
measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,f,34
score,92%,t,34
sample,196 patients,t,34
stateavg,AL_PN-5C,f,34
provider number,10001,t,35
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,35
address1,1108 ROSS CLARK CIRCLE,t,35
address2,,t,35
address3,,t,35
city,DOTHAN,t,35
state,AL,f,35
zip code,36302,f,35
county name,HOUSTON,t,35
phone number,3347938701,f,35
hospital type,Acute Care Hospitals,t,35
hospital owner,Government - Hospital District or Authority,t,35
emergency service,Yes,t,35
condition,Pneumonia,f,35
measure code,PN-6,f,35
measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),f,35
score,80%,t,35
sample,147 patients,t,35
stateavg,AL_PN-6,f,35
provider number,10001,t,36
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,36
address1,1108 ROSS CLARK CIRCLE,t,36
address2,,t,36
address3,,t,36
city,DOTHAN,t,36
state,AL,f,36
zip code,36302,f,36
county name,HOUSTON,t,36
phone number,3347938701,f,36
hospital type,Acute Care Hospitals,t,36
hospital owner,Government - Hospital District or Authority,t,36
emergency service,Yes,t,36
condition,Pneumonia,t,36
measure code,PN-7,f,36
measure name,Pneumonia Patients Assessed and Given Influenza Vaccination,f,36
score,84%,t,36
sample,160 patients,t,36
stateavg,AL_PN-7,f,36
provider number,10001,t,37
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,37
address1,1108 ROSS CLARK CIRCLE,t,37
address2,,t,37
address3,,t,37
city,DOTHAN,t,37
state,AL,f,37
zip code,36302,f,37
county name,HOUSTON,t,37
phone number,xx479x8701,t,37
hospital type,Acute Care Hospitals,t,37
hospital owner,Government - Hospital District or Authority,t,37
emergency service,Yes,t,37
condition,Surgical Infection Prevention,f,37
measure code,SCIP-CARD-2,f,37
measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,f,37
score,72%,t,37
sample,79 patients,t,37
stateavg,AL_SCIP-CARD-2,t,37
provider number,10001,t,38
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,38
address1,1108 ROSS CLARK CIRCLE,t,38
address2,,t,38
address3,,t,38
city,DOTHAN,t,38
state,AL,f,38
zip code,36302,f,38
county name,HOUSTON,t,38
phone number,3347938701,f,38
hospital type,Acute Care Hospitals,t,38
hospital owner,Government - Hospital District or Authority,t,38
emergency service,Yes,t,38
condition,Surgical Infection Prevention,t,38
measure code,SCIP-INF-1,t,38
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,38
score,94%,t,38
sample,399 patients,t,38
stateavg,AL_SCIP-INF-1,t,38
provider number,10001,t,39
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,39
address1,1108 ROSS CLARK CIRCLE,t,39
address2,,t,39
address3,,t,39
city,DOTHAN,t,39
state,AL,f,39
zip code,36302,f,39
county name,HOUSTON,t,39
phone number,3347938701,f,39
hospital type,Acute Care Hospitals,t,39
hospital owner,Government - Hospital District or Authority,t,39
emergency service,Yes,t,39
condition,Surgical Infection Prevention,f,39
measure code,SCIP-INF-2,f,39
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,39
score,98%,t,39
sample,405 patients,t,39
stateavg,AL_SCIP-INF-2,f,39
provider number,10001,t,40
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,40
address1,1108 ROSS CLARK CIRCLE,t,40
address2,,t,40
address3,,t,40
city,DOTHAN,t,40
state,AL,f,40
zip code,36302,f,40
county name,HOUSTON,t,40
phone number,3347938701,f,40
hospital type,Acxte Care Hospitals,t,40
hospital owner,Government - Hospital District or Authority,t,40
emergency service,Yes,t,40
condition,Surgical Infection Prevention,f,40
measure code,SCIP-INF-3,f,40
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,40
score,88%,t,40
sample,385 patients,t,40
stateavg,AL_SCIP-INF-3,t,40
provider number,10001,t,41
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,41
address1,1108 ROSS CLARK CIRCLE,t,41
address2,,t,41
address3,,t,41
city,DOTHAN,t,41
state,AL,f,41
zip code,36302,f,41
county name,HOUSTON,t,41
phone number,3347938701,f,41
hospital type,Acute Care Hospitals,t,41
hospital owner,Government - Hospital District or Authority,t,41
emergency service,Yes,t,41
condition,Surgical Infection Prevention,f,41
measure code,SCIP-INF-4,f,41
measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,f,41
score,96%,t,41
sample,136 patients,t,41
stateavg,AL_SCIP-INF-4,t,41
provider number,10001,t,42
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,42
address1,1108 ROSS CLARK CIRCLE,t,42
address2,,t,42
address3,,t,42
city,DOTHAN,t,42
state,AL,f,42
zip code,36302,f,42
county name,HOUSTON,t,42
phone number,3347938701,f,42
hospital type,Acute Care Hospitals,t,42
hospital owner,Government - Hospital District or Authority,t,42
emergency service,Yes,t,42
condition,Surgical Infection Prevention,t,42
measure code,SCIP-INF-6,f,42
measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),f,42
score,90%,t,42
sample,537 patients,t,42
stateavg,AL_SCIP-INF-6,t,42
provider number,10001,t,43
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,43
address1,1108 ROSS CLARK CIRCLE,t,43
address2,,t,43
address3,,t,43
city,DOTHAN,t,43
state,xL,f,43
zip code,36302,f,43
county name,HOUSTON,t,43
phone number,3347938701,f,43
hospital type,Acute Care Hospitals,t,43
hospital owner,Gxvernment - Hxspital District xr Authxrity,t,43
emergency service,Yes,t,43
condition,Surgical Infection Prevention,t,43
measure code,SCIP-VTE-1,f,43
measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,f,43
score,86%,t,43
sample,185 patients,t,43
stateavg,AL_SCIP-VTE-1,f,43
provider number,10001,t,44
hospital name,SOUTHEAST ALABAMA MEDICAL CENTER,t,44
address1,1108 ROSS CLARK CIRCLE,t,44
address2,,t,44
address3,,t,44
city,DOTHAN,t,44
state,AL,f,44
zip code,36302,f,44
county name,HOUSTON,t,44
phone number,3347938701,f,44
hospital type,Acute Care Hospitals,t,44
hospital owner,Government - Hospital District or Authority,t,44
emergency service,Yex,t,44
condition,Surgical Infection Prevention,f,44
measure code,SCIP-VTE-2,f,44
measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,t,44
