index,Address1,Address2,Address3,City,Condition,CountyName,EmergencyService,HospitalName,HospitalOwner,HospitalType,MeasureCode,MeasureName,PhoneNumber,ProviderNumber,Sample,Score,State,Stateavg,ZipCode
51,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Failure,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,HF-1,Heart Failure Patients Given Discharge Instructions,2565938310,10005,110 patients,78%,AL,AL_HF-1,35957
52,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Failure,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,2565938310,10005,160 patients,99%,AL,AL_HF-2,35957
53,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Failure,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),2565938310,10005,69 patients,90%,AL,AL_HF-3,35957
54,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Failure,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,2565938310,10005,34 patients,94%,AL,AL_HF-4,35957
55,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Pneumonia,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,2565938310,10005,172 patients,97%,AL,AL_PN-2,35957
56,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Pneumonia,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,2565938310,10005,120 patients,97%,AL,AL_PN-3B,35957
57,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Pneumonia,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,2565938310,10005,98 patients,97%,AL,AL_PN-4,35957
58,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Pneumonia,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,2565938310,10005,211 patients,96%,AL,AL_PN-5C,35957
59,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Pneumonia,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),2565938310,10005,175 patients,92%,AL,AL_PN-6,35957
60,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Pneumonia,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,2565938310,10005,118 patients,81%,AL,AL_PN-7,35957
61,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Surgical Infection Prevention,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,2565938310,10005,14 patients,36%,AL,AL_SCIP-CARD-2,35957
62,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Surgical Infection Prevention,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,2565938310,10005,168 patients,96%,AL,AL_SCIP-INF-1,35957
63,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Surgical Infection Prevention,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,2565938310,10005,167 patients,93%,AL,AL_SCIP-INF-2,35957
64,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Surgical Infection Prevention,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),2565938310,10005,158 patients,95%,AL,AL_SCIP-INF-3,35957
65,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Surgical Infection Prevention,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,2565938310,10005,0 patients,,AL,AL_SCIP-INF-4,35957
66,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Surgical Infection Prevention,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream ´è_C not a razor),2565938310,10005,237 patients,100%,AL,AL_SCIP-INF-6,35957
67,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Surgical Infection Prevention,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,2565938310,10005,76 patients,78%,AL,AL_SCIP-VTE-1,35957
68,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Surgical Infection Prevention,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,2565938310,10005,76 patients,74%,AL,AL_SCIP-VTE-2,35957
69,205 MARENGO STREET,,,FLORENCE,Heart Attack,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,AMI-1,Heart Attack Patients Given Aspirin at Arrival,2567688400,10006,159 patients,97%,AL,AL_AMI-1,35631
70,205 MARENGO STREET,,,FLORENCE,Heart Attack,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,AMI-2,Heart Attack Patients Given Aspirin at Discharge,2567688400,10006,247 patients,96%,AL,AL_AMI-2,35631
71,205 MARENGO STREET,,,FLORENCE,Heart Attack,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),2567688400,10006,43 patients,93%,AL,AL_AMI-3,35631
72,205 MARENGO STREET,,,FLORENCE,Heart Attack,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,2567688400,10006,103 patients,100%,AL,AL_AMI-4,35631
73,205 MARENGO STREET,,,FLORENCE,Heart Attack,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,2567688400,10006,227 patients,96%,AL,AL_AMI-5,35631
74,205 MARENGO STREET,,,FLORENCE,Heart Attack,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,2567688400,10006,0 patients,,AL,AL_AMI-7A,35631
75,205 MARENGO STREET,,,FLORENCE,Heart Attack,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,2567688400,10006,61 patients,98%,AL,AL_AMI-8A,35631
76,205 MARENGO STREET,,,FLORENCE,Heart Failure,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,HF-1,Heart Failure Patients Given Discharge Instructions,2567688400,10006,217 patients,79%,AL,AL_HF-1,35631
77,205 MARENGO STREET,,,FLORENCE,Heart Failure,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,2567688400,10006,259 patients,97%,AL,AL_HF-2,35631
78,205 MARENGO STREET,,,FLORENCE,Heart Failure,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),2567688400,10006,84 patients,82%,AL,AL_HF-3,35631
79,205 MARENGO STREET,,,FLORENCE,Heart Failure,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,2567688400,10006,53 patients,100%,AL,AL_HF-4,35631
80,205 MARENGO STREET,,,FLORENCE,Pneumonia,LAUDERDALE,Yes,ELIZA COFFEE MEMORIAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,2567688400,10006,174 patients,90%,AL,AL_PN-2,35631
